date snow evap netpsn depthtogw vegaccesswater Qout litter soil height_over trans height_under leafc_over stemc_over rootc_over leafc_under stemc_under rootc_under year month day
1942-10-01 0 0.05194 0.003916 1688.751745 348.018645 0.046513 0.501546 12.046174 18.810828 2.742316 1.989412 0.503809 4.837528 4.24282 0.187142 0.682374 1.183004 1942 10 1
1942-10-02 0 0.063199 0.004021 1691.720163 345.077422 0.045497 0.509198 12.046559 18.810599 2.904648 1.989322 0.498868 4.837424 4.242983 0.186003 0.682317 1.183075 1942 10 2
1942-10-03 0 0.053628 0.003622 1694.602363 342.221969 0.044505 0.516191 12.046959 18.810371 2.828008 1.989232 0.494279 4.837321 4.243128 0.184945 0.68226 1.183039 1942 10 3
1942-10-04 0 0.06219 0.003106 1697.644347 339.208121 0.043536 0.522472 12.047395 18.810142 2.979237 1.989141 0.490043 4.837218 4.243182 0.183969 0.682203 1.182875 1942 10 4
1942-10-05 0 0.053987 0.002595 1700.596616 336.283623 0.04259 0.528036 12.047867 18.809913 2.897734 1.989051 0.486159 4.837115 4.243148 0.183074 0.682146 1.18258 1942 10 5
1942-10-06 0 0.046439 0.002751 1703.441621 333.4657 0.041666 0.532943 12.048335 18.809684 2.798024 1.988961 0.482628 4.837012 4.243425 0.182259 0.68209 1.182317 1942 10 6
1942-10-07 0 0.041237 0.00292 1705.976315 330.955169 0.040765 0.5372 12.048797 18.809455 2.492921 1.98887 0.479449 4.836908 4.243992 0.181526 0.682033 1.182127 1942 10 7
1942-10-08 0 0.039739 0.002718 1708.50559 328.450101 0.039884 0.540803 12.049265 18.809227 2.489007 1.98878 0.476623 4.836805 4.244645 0.180874 0.681976 1.18189 1942 10 8
1942-10-09 0 0.017887 0.00197 1710.122983 326.84977 0.039027 0.543674 12.049779 18.808998 1.598981 1.98869 0.474149 4.836702 4.245101 0.180304 0.681919 1.181426 1942 10 9
1942-10-10 0 0.041596 0.003757 1712.473833 324.521881 0.038188 0.546051 12.050187 18.808769 2.308733 1.9886 0.472028 4.836599 4.246826 0.179814 0.681862 1.181444 1942 10 10
1942-10-11 0 1.794283 0.003815 1712.322837 324.673641 0.037374 0.547911 12.050551 18.80854 0 1.988509 0.470259 4.836496 4.248875 0.179406 0.681805 1.181387 1942 10 11
1942-10-12 0 0.023621 0.003443 1713.697839 323.313594 0.038014 0.549148 12.050917 18.808312 1.353155 1.988419 0.468843 4.836392 4.250869 0.179079 0.681748 1.181322 1942 10 12
1942-10-13 0 0.02728 0.003475 1715.329725 321.698838 0.03719 0.549898 12.051225 18.808083 1.604111 1.988329 0.467779 4.836289 4.253058 0.178833 0.681692 1.181312 1942 10 13
1942-10-14 0 0.032671 0.003797 1717.456781 319.59306 0.036385 0.550185 12.051456 18.807854 2.093877 1.988238 0.467068 4.836186 4.255616 0.178668 0.681635 1.181423 1942 10 14
1942-10-15 0 0.023255 0.003392 1719.121063 317.945911 0.0356 0.549844 12.051685 18.807625 1.640523 1.988148 0.466709 4.836083 4.258139 0.178585 0.681578 1.181457 1942 10 15
1942-10-16 0 0.027291 0.003124 1721.075462 316.011017 0.034834 0.548897 12.0519 18.807397 1.926609 1.988058 0.466703 4.83598 4.260673 0.178582 0.68152 1.18151 1942 10 16
1942-10-17 0 0.027849 0.003117 1723.0486 314.057687 0.034084 0.547974 12.052103 18.807168 1.944795 1.987921 0.466696 4.835876 4.263226 0.17858 0.681463 1.181507 1942 10 17
1942-10-18 0 0.028386 0.002981 1725.091701 312.034955 0.033353 0.547076 12.052299 18.806939 2.014225 1.987831 0.46669 4.835773 4.265713 0.178577 0.681406 1.181455 1942 10 18
1942-10-19 0 0.02888 0.002819 1727.197799 309.949772 0.032638 0.54619 12.05249 18.806711 2.076735 1.987741 0.466683 4.83567 4.268124 0.178575 0.681349 1.181344 1942 10 19
1942-10-20 0 0.02934 0.002647 1729.359607 307.809367 0.031941 0.545308 12.052681 18.806482 2.131986 1.987651 0.466677 4.835567 4.270449 0.178572 0.681293 1.181173 1942 10 20
1942-10-21 0 0.029671 0.002482 1731.569353 305.62145 0.031259 0.544422 12.052874 18.806253 2.1796 1.98756 0.466671 4.835464 4.272687 0.17857 0.681236 1.180948 1942 10 21
1942-10-22 0 0.029818 0.002321 1733.818803 303.394189 0.030593 0.543526 12.053071 18.806024 2.219161 1.98747 0.466664 4.835361 4.274836 0.178567 0.681179 1.180677 1942 10 22
1942-10-23 0 0.029524 0.001773 1735.904275 301.328833 0.029943 0.542567 12.053302 18.805796 2.055482 1.98738 0.466658 4.835257 4.276613 0.178565 0.681122 1.180314 1942 10 23
1942-10-24 0 0.025789 0.00243 1737.777906 299.473653 0.029309 0.541667 12.053494 18.805567 1.847379 1.98729 0.466651 4.835154 4.278833 0.178562 0.681065 1.180073 1942 10 24
1942-10-25 0 0.025218 0.002134 1739.724265 297.546367 0.028689 0.540786 12.053685 18.805338 1.920682 1.9872 0.466645 4.835051 4.280861 0.17856 0.681009 1.179763 1942 10 25
1942-10-26 0 0.022217 0.002263 1741.559966 295.728897 0.028083 0.539931 12.053862 18.805109 1.813029 1.987109 0.466639 4.834948 4.282988 0.178558 0.680952 1.179467 1942 10 26
1942-10-27 0 0.018146 0.002568 1743.090016 294.214646 0.027493 0.539119 12.054019 18.804881 1.511452 1.987019 0.466632 4.834845 4.285329 0.178555 0.680895 1.179226 1942 10 27
1942-10-28 0 0.013255 0.002263 1744.103937 293.212333 0.026916 0.5383 12.054195 18.804652 1.000217 1.986929 0.466626 4.834742 4.287416 0.178553 0.680838 1.178995 1942 10 28
1942-10-29 0 0.013649 0.002148 1745.010714 292.316338 0.026353 0.537564 12.054349 18.804423 0.892679 1.986839 0.466619 4.834638 4.289404 0.17855 0.680782 1.178777 1942 10 29
1942-10-30 0 0.017106 0.002614 1746.385478 290.95612 0.025802 0.536978 12.054441 18.804195 1.357212 1.986749 0.466613 4.834535 4.291762 0.178548 0.680725 1.17858 1942 10 30
1942-10-31 0 0.028509 0.002245 1747.851684 289.504132 0.025264 0.536412 12.05453 18.803966 1.437254 1.986658 0.466607 4.834432 4.293862 0.178545 0.680668 1.178335 1942 10 31
1942-11-01 0 0.024714 0.001896 1749.526107 287.845585 0.024738 0.535846 12.054624 18.803737 1.649269 1.986568 0.4666 4.834329 4.295743 0.178543 0.680611 1.178011 1942 11 1
1942-11-02 0 0.022807 0.00166 1751.231714 286.156136 0.024223 0.535251 12.05473 18.803509 1.682362 1.986478 0.466594 4.834226 4.297474 0.17854 0.680555 1.177636 1942 11 2
1942-11-03 0 2.342892 0.002258 1746.463901 290.909677 0.023724 0.533549 12.05547 18.80328 0 1.986388 0.466587 4.834123 4.299533 0.178538 0.680498 1.177437 1942 11 3
1942-11-04 0 1.529308 0.002251 1746.744544 290.630761 0.072781 0.532393 12.055886 18.803051 0.256305 1.986298 0.466581 4.83402 4.301363 0.178536 0.680441 1.177532 1942 11 4
1942-11-05 0 0.498544 0.002071 1747.471654 289.911532 0.070802 0.53165 12.056088 18.802823 0.712863 1.986208 0.466575 4.833916 4.303112 0.178533 0.680385 1.177548 1942 11 5
1942-11-06 0 0.183128 0.002675 1748.931525 288.465082 0.068881 0.53116 12.056162 18.802594 1.438474 1.986117 0.466568 4.833813 4.305292 0.178531 0.680328 1.177651 1942 11 6
1942-11-07 0 0.021241 0.002582 1750.489286 286.921488 0.067017 0.530732 12.056205 18.802365 1.536815 1.986027 0.466562 4.83371 4.307444 0.178528 0.680271 1.177698 1942 11 7
1942-11-08 0 0.022719 0.002249 1751.84648 285.576469 0.065208 0.530293 12.056256 18.802136 1.334045 1.985937 0.466556 4.833607 4.309388 0.178526 0.680214 1.177668 1942 11 8
1942-11-09 0 0.022775 0.002141 1753.366111 284.070228 0.063452 0.529864 12.056303 18.801908 1.496428 1.985847 0.466549 4.833504 4.311286 0.178523 0.680158 1.177588 1942 11 9
1942-11-10 0 0.020308 0.002048 1754.826458 282.622946 0.061748 0.529432 12.05635 18.801679 1.439615 1.985757 0.466543 4.833401 4.313144 0.178521 0.680101 1.177462 1942 11 10
1942-11-11 0 0.021876 0.001669 1756.44621 281.017447 0.060093 0.528978 12.056409 18.80145 1.597452 1.985667 0.466536 4.833298 4.314774 0.178518 0.680044 1.177235 1942 11 11
1942-11-12 0 0.020877 0.001537 1758.040902 279.436933 0.058487 0.528501 12.056474 18.801222 1.573394 1.985576 0.46653 4.833194 4.316329 0.178516 0.679988 1.176964 1942 11 12
1942-11-13 0 0.021981 0.001229 1759.714568 277.778099 0.056928 0.527987 12.056554 18.800993 1.651266 1.985486 0.466524 4.833091 4.317685 0.178514 0.679931 1.176625 1942 11 13
1942-11-14 0 0.016119 0.00153 1761.039104 276.466009 0.055414 0.527487 12.056616 18.800764 1.308 1.985396 0.466517 4.832988 4.319237 0.178511 0.679874 1.176349 1942 11 14
1942-11-15 0.00033 2.032548 0.001728 1749.641934 287.83459 0.053947 0.526312 12.05707 18.800536 9e-05 1.985306 0.466511 4.832885 4.320849 0.178509 0.679818 1.176176 1942 11 15
1942-11-16 0.120644 2.446546 0.000234 1749.152905 288.320485 0.170158 0.525507 12.057302 18.800307 0 1.985216 0.466504 4.832782 4.320965 0.178506 0.679761 1.176383 1942 11 16
1942-11-17 0.721338 1.351453 0.001659 1713.818988 323.568449 0.170531 0.524675 12.057576 18.800079 0 1.985126 0.466498 4.832679 4.322085 0.178504 0.679704 1.176989 1942 11 17
1942-11-18 0.61389 0.459557 0.000274 1675.030645 362.263658 0.530079 0.52375 12.057869 18.79985 0 1.985036 0.466492 4.832576 4.322339 0.178501 0.679648 1.177055 1942 11 18
1942-11-19 2.490386 1.740034 0.00162 1631.389946 405.799349 0.912732 0.52299 12.058036 18.799621 0 1.984946 0.466485 4.832473 4.323223 0.178499 0.679591 1.178137 1942 11 19
1942-11-20 2.194304 1.835731 0.000798 1631.295244 405.894088 1.337314 0.522113 12.058247 18.799393 0.022047 1.984856 0.466479 4.83237 4.323669 0.178496 0.679534 1.178684 1942 11 20
1942-11-21 2.118436 0.480635 0.001667 1632.271593 404.921742 1.298947 0.521507 12.05834 18.799164 0.923256 1.984765 0.466472 4.832266 4.324592 0.178494 0.679478 1.179743 1942 11 21
1942-11-22 1.826459 0.289068 0.001922 1633.540445 403.661624 1.260283 0.520987 12.058394 18.798935 1.386019 1.984675 0.466466 4.832163 4.325587 0.178492 0.679421 1.181118 1942 11 22
1942-11-23 1.339783 0.120046 0.001826 1634.926484 402.285924 1.224258 0.520465 12.058445 18.798707 1.667789 1.984585 0.46646 4.83206 4.3265 0.178489 0.679364 1.182497 1942 11 23
1942-11-24 0.986379 0.171339 0.001573 1636.178372 401.04226 1.190603 0.51988 12.058519 18.798478 1.372469 1.984495 0.466453 4.831957 4.327289 0.178487 0.679308 1.183692 1942 11 24
1942-11-25 0.729714 0.1792 0.001539 1637.504286 399.728106 1.157211 0.519286 12.058594 18.798249 1.382981 1.984405 0.466447 4.831854 4.328048 0.178484 0.679251 1.184876 1942 11 25
1942-11-26 0.530014 0.225231 0.00149 1638.950617 398.292804 1.124285 0.518703 12.058665 18.798021 1.462843 1.984315 0.46644 4.831751 4.328758 0.178482 0.679195 1.18607 1942 11 26
1942-11-27 0.380604 0.244659 0.001429 1640.500079 396.75399 1.092059 0.518124 12.058732 18.797792 1.535772 1.984225 0.466434 4.831648 4.329414 0.178479 0.679138 1.187258 1942 11 27
1942-11-28 0.276169 0.185822 0.00133 1641.82718 395.435851 1.060547 0.517533 12.058803 18.797564 1.298828 1.984135 0.466428 4.831545 4.330022 0.178477 0.679081 1.188364 1942 11 28
1942-11-29 0.193687 0.152056 0.001299 1643.206212 394.065684 1.029758 0.516958 12.058869 18.797335 1.340629 1.984045 0.466421 4.831442 4.3306 0.178474 0.679025 1.18947 1942 11 29
1942-11-30 0.131979 0.147524 0.001269 1644.606152 392.674453 0.999804 0.516393 12.058931 18.797106 1.351998 1.983955 0.466415 4.831339 4.331154 0.178472 0.678968 1.190567 1942 11 30
1942-12-01 0.084089 0.136211 0.00021 1646.096435 391.193168 0.970663 0.515828 12.058989 18.796878 1.43119 1.984512 0.466409 4.831235 4.331693 0.181543 0.679408 1.188087 1942 12 1
1942-12-02 0.058476 0.144057 3.8e-05 1647.298502 389.998537 0.942349 0.515219 12.05907 18.796649 1.099856 1.985057 0.466402 4.831132 4.332168 0.184562 0.679839 1.185469 1942 12 2
1942-12-03 0.042656 0.116322 -0.000124 1648.107425 389.195153 0.914789 0.514604 12.059164 18.79642 0.720743 1.985591 0.466396 4.831029 4.332578 0.187528 0.680262 1.182729 1942 12 3
1942-12-04 0.03455 0.116067 -0.000195 1648.760966 388.546325 0.888029 0.514015 12.059257 18.796192 0.563512 1.986114 0.466389 4.830926 4.332955 0.190443 0.680677 1.179966 1942 12 4
1942-12-05 0.02946 0.104861 -0.000737 1649.039758 388.270166 0.862054 0.513306 12.059436 18.795963 0.193753 1.986626 0.466383 4.830823 4.333069 0.193305 0.681083 1.176896 1942 12 5
1942-12-06 0.025841 0.099555 -0.001378 1649.216263 388.095575 0.836867 0.512579 12.059643 18.795735 0.091161 1.987126 0.466377 4.83072 4.332811 0.196115 0.68148 1.173536 1942 12 6
1942-12-07 0.322825 1.993419 -0.001118 1649.04989 388.262157 0.812431 0.511977 12.059796 18.795506 0 1.987615 0.46637 4.830617 4.332373 0.198873 0.681869 1.170913 1942 12 7
1942-12-08 0.263498 1.207169 0.000148 1649.221178 388.092725 0.790859 0.511556 12.059857 18.795277 0.160537 1.988093 0.466364 4.830514 4.333194 0.201579 0.68225 1.168661 1942 12 8
1942-12-09 0.212653 0.204234 6.7e-05 1650.06829 387.250338 0.768178 0.51121 12.059883 18.795049 0.795951 1.988559 0.466357 4.830411 4.333724 0.204233 0.682622 1.166359 1942 12 9
1942-12-10 0.155085 0.190439 -2.2e-05 1651.097829 386.226611 0.745917 0.510895 12.059895 18.79482 0.930407 1.989014 0.466351 4.830308 4.334106 0.206834 0.682986 1.164058 1942 12 10
1942-12-11 0.08174 0.148895 4.2e-05 1652.35907 384.972446 0.724404 0.510603 12.059894 18.794592 1.171835 1.989458 0.466345 4.830205 4.334504 0.209384 0.683341 1.161845 1942 12 11
1942-12-12 0.030439 0.184343 4.1e-05 1653.801846 383.537437 0.703641 0.5103 12.059893 18.794363 1.348049 1.989891 0.466338 4.830102 4.334902 0.211881 0.683688 1.159644 1942 12 12
1942-12-13 0.012664 0.1852 5.2e-05 1655.152235 382.19428 0.683497 0.509975 12.059895 18.794135 1.246882 1.990313 0.466332 4.829999 4.3353 0.214326 0.684026 1.157467 1942 12 13
1942-12-14 0.005918 0.156256 4.8e-05 1656.59776 380.756412 0.663845 0.509641 12.059896 18.793906 1.33248 1.990723 0.466325 4.829896 4.335696 0.216719 0.684356 1.15529 1942 12 14
1942-12-15 0.003405 0.141019 3e-05 1658.130639 379.231598 0.644756 0.50929 12.0599 18.793677 1.412872 1.991122 0.466319 4.829792 4.336089 0.219059 0.684678 1.153109 1942 12 15
1942-12-16 0.002412 0.131082 -1.3e-05 1659.666923 377.703395 0.626223 0.508913 12.059911 18.793449 1.421764 1.991511 0.466313 4.829689 4.336468 0.221348 0.68499 1.150903 1942 12 16
1942-12-17 0.001886 0.102773 5.6e-05 1660.897156 376.479959 0.608246 0.508508 12.059926 18.79322 1.130596 1.991888 0.466306 4.829586 4.336862 0.223584 0.685295 1.148787 1942 12 17
1942-12-18 0.001512 0.12249 -1e-05 1661.972785 375.410276 0.590813 0.508085 12.059953 18.792992 0.953069 1.992254 0.4663 4.829483 4.337223 0.225769 0.685591 1.146657 1942 12 18
1942-12-19 0.001246 0.139038 1.4e-05 1663.519809 373.872471 0.573908 0.507709 12.059961 18.792763 1.408777 1.992609 0.466294 4.82938 4.337599 0.227901 0.685879 1.144552 1942 12 19
1942-12-20 0.001103 0.122158 5.5e-05 1664.808077 372.592229 0.557514 0.507311 12.059973 18.792535 1.166331 1.992952 0.466287 4.829277 4.337982 0.229981 0.686158 1.142517 1942 12 20
1942-12-21 0.000966 0.108833 4.9e-05 1666.107785 371.300515 0.541614 0.506935 12.05998 18.792306 1.19067 1.993285 0.466281 4.829174 4.338358 0.232009 0.686429 1.140509 1942 12 21
1942-12-22 0.000747 1.278633 -5.8e-05 1665.993346 371.416241 0.526197 0.506523 12.060006 18.792077 0 1.993607 0.466274 4.829071 4.338691 0.233985 0.686691 1.138482 1942 12 22
1942-12-23 0.018496 0.687078 0.000207 1639.68378 397.658021 0.512766 0.505192 12.060551 18.791849 0 1.993918 0.466268 4.828968 4.339278 0.235908 0.686945 1.136443 1942 12 23
1942-12-24 0.224652 0.755746 -0.00018 1598.473953 438.769278 0.768156 0.50437 12.060781 18.79162 0 1.994218 0.466262 4.828865 4.339559 0.23778 0.68719 1.134429 1942 12 24
1942-12-25 1.689274 0.496209 -0.001659 1574.253398 462.928895 1.169645 0.503395 12.061072 18.791392 0 1.994506 0.466255 4.828762 4.338959 0.239599 0.687427 1.131934 1942 12 25
1942-12-26 1.517183 2.560487 -0.000841 1574.394413 462.788035 1.389201 0.502603 12.061257 18.791163 4.9e-05 1.994784 0.466249 4.828659 4.338612 0.241366 0.687656 1.130067 1942 12 26
1942-12-27 1.443228 2.248067 0.000717 1574.451273 462.732016 1.349251 0.502059 12.061329 18.790935 0.093826 1.995051 0.466242 4.828556 4.340163 0.243081 0.687876 1.128507 1942 12 27
1942-12-28 1.057469 0.77102 0.000167 1574.824113 462.361716 1.311751 0.501589 12.06135 18.790706 0.48055 1.995307 0.466236 4.828453 4.340553 0.244744 0.688087 1.126885 1942 12 28
1942-12-29 0.772841 0.254126 0.000179 1575.786464 461.40435 1.275541 0.501126 12.061364 18.790478 1.00614 1.995552 0.46623 4.82835 4.340937 0.246355 0.688291 1.125314 1942 12 29
1942-12-30 0.546499 0.191111 0.000188 1576.807945 460.388206 1.23982 0.500674 12.061374 18.790249 1.039113 1.995786 0.466223 4.828247 4.34132 0.247914 0.688485 1.123795 1942 12 30
1942-12-31 0.358728 0.208309 0.000217 1578.055845 459.146411 1.204844 0.500234 12.061376 18.790021 1.226838 1.996009 0.466217 4.828144 4.341713 0.249421 0.688672 1.122332 1942 12 31
1943-01-01 0.254941 0.176233 0.000115 1578.73471 458.470707 1.170707 0.499717 12.061413 18.789792 0.641228 1.996221 0.466211 4.828041 4.34205 0.250875 0.68885 1.120879 1943 1 1
1943-01-02 0.387043 0.830297 -1.9e-05 1569.546522 467.630286 1.137131 0.498808 12.061679 18.789564 0 1.996422 0.466204 4.827938 4.342344 0.252278 0.689019 1.11938 1943 1 2
1943-01-03 3.612652 0.080211 -0.002227 1552.839069 484.293824 1.197224 0.497805 12.061995 18.789335 0 1.996612 0.466198 4.827835 4.341501 0.253628 0.68918 1.116939 1943 1 3
1943-01-04 3.050885 0.610421 -0.001418 1550.95998 486.168902 1.342874 0.496977 12.062212 18.789107 0 1.996792 0.466191 4.827732 4.340878 0.254926 0.689333 1.115161 1943 1 4
1943-01-05 2.205871 1.126115 0.000509 1549.096776 488.028349 1.320768 0.496206 12.062406 18.788878 0 1.99696 0.466185 4.827629 4.342107 0.256172 0.689477 1.114356 1943 1 5
1943-01-06 3.093209 0.524192 -0.001341 1525.485283 511.576763 1.298268 0.495273 12.062696 18.78865 0 1.997118 0.466179 4.827526 4.341559 0.257366 0.689613 1.112637 1943 1 6
1943-01-07 2.389261 1.23029 0.000247 1524.124537 512.932025 1.506738 0.494627 12.062812 18.788421 0 1.997265 0.466172 4.827423 4.342123 0.258508 0.68974 1.111848 1943 1 7
1943-01-08 2.038588 1.348959 0.000411 1523.888636 513.16383 1.474259 0.494136 12.06285 18.788192 0.007038 1.997401 0.466166 4.82732 4.34265 0.259598 0.689859 1.110981 1943 1 8
1943-01-09 1.74483 0.863988 0.000218 1523.755938 513.293846 1.433466 0.493665 12.06288 18.787964 0.055842 1.997526 0.466159 4.827217 4.342981 0.260636 0.689969 1.110022 1943 1 9
1943-01-10 1.577791 0.609092 -0.000514 1523.362667 513.679996 1.393383 0.493002 12.06302 18.787735 0 1.99764 0.466153 4.827114 4.342917 0.261621 0.690071 1.1088 1943 1 10
1943-01-11 1.476101 1.19155 0.000472 1523.361066 513.678981 1.356259 0.492611 12.063014 18.787507 0.018925 1.997743 0.466147 4.827011 4.343415 0.262555 0.690165 1.10807 1943 1 11
1943-01-12 1.202815 0.556162 0.000471 1523.762538 513.277235 1.317373 0.492246 12.062994 18.787279 0.545475 1.997836 0.46614 4.826908 4.343832 0.263436 0.69025 1.107365 1943 1 12
1943-01-13 0.99188 0.364293 0.000473 1524.449627 512.590743 1.280655 0.491888 12.06297 18.78705 0.727704 1.997918 0.466134 4.826805 4.344239 0.264266 0.690327 1.106708 1943 1 13
1943-01-14 0.812249 0.308455 0.000495 1525.322207 511.719728 1.24467 0.491542 12.062939 18.786822 0.864537 1.997989 0.466128 4.826702 4.344651 0.265043 0.690395 1.106109 1943 1 14
1943-01-15 0.648309 0.388383 0.00057 1526.619506 510.425527 1.209595 0.491225 12.062892 18.786593 1.201572 1.998049 0.466121 4.826599 4.345095 0.265768 0.690455 1.105588 1943 1 15
1943-01-16 0.513054 0.293586 0.000658 1528.054291 508.994654 1.175505 0.490914 12.062835 18.786365 1.309919 1.998098 0.466115 4.826496 4.345571 0.266441 0.690507 1.105163 1943 1 16
1943-01-17 0.402771 0.295738 0.000691 1529.626345 507.427071 1.142357 0.490598 12.062775 18.786136 1.393473 1.998137 0.466108 4.826393 4.346056 0.267063 0.69055 1.104795 1943 1 17
1943-01-18 0.308122 0.424376 0.000722 1531.589764 505.46965 1.11003 0.490276 12.062712 18.785908 1.67154 1.998164 0.466102 4.82629 4.346548 0.267632 0.690585 1.104483 1943 1 18
1943-01-19 0.233358 0.415757 0.000747 1533.615744 503.450092 1.078594 0.489927 12.062651 18.785679 1.700559 1.998181 0.466096 4.826187 4.347045 0.268148 0.690611 1.104226 1943 1 19
1943-01-20 0.179125 0.335461 0.000781 1535.408326 501.66333 1.047999 0.489553 12.062591 18.785451 1.507414 1.998187 0.466089 4.826084 4.34755 0.268613 0.690629 1.10403 1943 1 20
1943-01-21 0.137031 0.300083 0.000789 1537.070913 500.00629 1.018214 0.489165 12.062536 18.785222 1.396913 1.998183 0.466083 4.825981 4.348047 0.269026 0.690638 1.103887 1943 1 21
1943-01-22 0.105676 0.309804 0.000801 1538.702524 498.380245 0.989264 0.488773 12.062481 18.784994 1.358211 1.998167 0.466076 4.825878 4.348543 0.269387 0.690639 1.103797 1943 1 22
1943-01-23 0.082696 1.583003 0.000773 1538.515371 498.563464 0.961131 0.488349 12.062444 18.784765 0 1.998141 0.46607 4.825775 4.349014 0.269695 0.690632 1.103748 1943 1 23
1943-01-24 6.572939 1.16234 0.000537 1500.699346 536.27795 0.935509 0.486996 12.062928 18.784537 0 1.998104 0.466064 4.825672 4.349324 0.269952 0.690616 1.10366 1943 1 24
1943-01-25 6.293177 0.724221 -0.000572 1500.307681 536.660196 1.308076 0.486147 12.063115 18.784308 0 1.998056 0.466057 4.825569 4.348912 0.270156 0.690592 1.103357 1943 1 25
1943-01-26 6.238221 0.504758 -0.001432 1500.355595 536.607473 1.273797 0.485366 12.063284 18.78408 0 1.997998 0.466051 4.825466 4.348274 0.270309 0.690559 1.102478 1943 1 26
1943-01-27 6.207919 0.83537 -0.000772 1500.424506 536.534558 1.237149 0.484651 12.063434 18.783851 1e-06 1.997928 0.466044 4.825363 4.34782 0.270409 0.690518 1.102147 1943 1 27
1943-01-28 6.148807 1.139739 0.00069 1500.492693 536.462566 1.201271 0.484024 12.063548 18.783623 0.009238 1.997848 0.466038 4.82526 4.348644 0.270458 0.690469 1.102852 1943 1 28
1943-01-29 6.042538 1.172858 0.001365 1500.546918 536.406284 1.166548 0.483607 12.063555 18.783395 0.356184 1.997757 0.466032 4.825157 4.349923 0.270454 0.690411 1.103557 1943 1 29
1943-01-30 10.083352 1.359615 0.000393 1486.062962 550.844046 1.135735 0.482974 12.063683 18.783166 0 1.997666 0.466025 4.825054 4.350051 0.27045 0.690353 1.103784 1943 1 30
1943-01-31 9.825548 2.103473 0.001091 1484.379727 552.513297 1.259497 0.482618 12.063655 18.782938 0 1.997576 0.466019 4.824951 4.350898 0.270447 0.690296 1.104239 1943 1 31
1943-02-01 9.182689 1.666953 0.001085 1484.068661 552.818954 1.238504 0.482347 12.063579 18.782709 0.191007 1.997485 0.466013 4.824848 4.351559 0.270443 0.690238 1.104689 1943 2 1
1943-02-02 8.359576 0.557165 0.00105 1484.483813 552.402366 1.207178 0.482114 12.063481 18.782481 0.966752 1.997394 0.466006 4.824745 4.352115 0.270439 0.69018 1.105119 1943 2 2
1943-02-03 6.516979 1.703087 0.00116 1478.688 558.174826 1.177318 0.481791 12.06343 18.782252 0 1.997303 0.466 4.824643 4.35275 0.270435 0.690122 1.105546 1943 2 3
1943-02-04 4.59078 2.40772 0.001201 1460.129748 576.680583 1.198 0.481441 12.063384 18.782024 1.2e-05 1.997212 0.465993 4.82454 4.353405 0.270432 0.690065 1.10598 1943 2 4
1943-02-05 4.019958 1.657622 0.001121 1460.410517 576.392301 1.351314 0.481192 12.063272 18.781795 0.609816 1.997121 0.465987 4.824437 4.353993 0.270428 0.690007 1.106415 1943 2 5
1943-02-06 3.240782 0.485985 0.001144 1461.68568 575.118349 1.315703 0.480935 12.063155 18.781567 1.732323 1.99703 0.465981 4.824334 4.354593 0.270424 0.689949 1.10685 1943 2 6
1943-02-07 2.618075 0.158628 0.001147 1462.899752 573.907727 1.282311 0.480636 12.063043 18.781339 1.577773 1.996939 0.465974 4.824231 4.355198 0.270421 0.689891 1.107276 1943 2 7
1943-02-08 2.173949 0.119447 0.001062 1463.872412 572.936965 1.248973 0.48029 12.06295 18.78111 1.214781 1.996849 0.465968 4.824128 4.355755 0.270417 0.689834 1.107664 1943 2 8
1943-02-09 47.658586 2.314018 -0.001063 1444.899268 591.853288 1.215575 0.479436 12.063144 18.780882 0 1.996758 0.465962 4.824025 4.355147 0.270413 0.689776 1.107227 1943 2 9
1943-02-10 47.433038 2.141125 -0.001126 1444.874212 591.864726 1.415439 0.47876 12.063251 18.780653 0.011561 1.996667 0.465955 4.823922 4.35448 0.270409 0.689718 1.10679 1943 2 10
1943-02-11 47.26628 2.884837 0.002298 1443.855433 592.873743 1.374927 0.47832 12.063245 18.780425 0.151624 1.996576 0.465949 4.823819 4.35667 0.270406 0.68966 1.108395 1943 2 11
1943-02-12 46.428286 0.641142 0.001083 1444.068085 592.654301 1.349725 0.478039 12.063151 18.780197 0.727588 1.996485 0.465942 4.823716 4.357215 0.270402 0.689603 1.108837 1943 2 12
1943-02-13 45.340653 0.166985 0.000643 1443.715989 592.999386 1.315739 0.477636 12.063133 18.779968 0.374046 1.996394 0.465936 4.823613 4.357524 0.270398 0.689545 1.109126 1943 2 13
1943-02-14 45.178718 0.176424 0.000884 1444.33053 592.381191 1.284797 0.477379 12.06305 18.77974 0.601978 1.996303 0.46593 4.82351 4.357986 0.270395 0.689487 1.109474 1943 2 14
1943-02-15 45.223888 1.757515 0.000361 1444.319362 592.38487 1.247521 0.477016 12.063031 18.779511 0.0669 1.996213 0.465923 4.823407 4.358121 0.270391 0.689429 1.109671 1943 2 15
1943-02-16 44.945796 0.262022 -0.000119 1444.414351 592.284119 1.212269 0.476509 12.0631 18.779283 0.169336 1.996122 0.465917 4.823304 4.357955 0.270387 0.689372 1.109744 1943 2 16
1943-02-17 44.732822 0.227193 0.000131 1444.660096 592.033284 1.178073 0.476089 12.063135 18.779055 0.236328 1.996031 0.46591 4.823202 4.357944 0.270384 0.689314 1.109901 1943 2 17
